axon,slice,gratio,axon_diam,dist_centre
Axon1,slice_000,0.9631195364579754,3.016147230148246,351.1094935768312
Axon1,slice_001,0.7810274525940026,13.354425813943797,9.78561778824536
Axon1,slice_002,0.6887088444595585,8.693897492104298,8.446541248710737
Axon1,slice_003,0.7876815569831181,17.142479386831372,14.80087188347619
Axon1,slice_004,0.6064174976343999,6.0852529640888795,6.697185550005969
Axon1,slice_005,0.9659078754034988,1.2341835382219988,354.3256631970086
Axon1,slice_006,0.6659209048468753,5.5136849808473505,3.907525820185598
Axon1,slice_007,0.6079222077918173,7.415960702098185,8.70708924378257
Axon1,slice_008,0.7464698411444198,11.459372257940045,22.655118257193177
Axon1,slice_009,0.741073376431846,9.815281154145218,7.895479013206624
Axon1,slice_010,0.9363219622862968,4.127474969738202,229.08168178367407
Axon1,slice_011,0.7436596574167536,11.795859124678753,10.874694462472611
Axon1,slice_012,0.7781924987012028,9.40168895249859,13.31373084000949
Axon1,slice_013,0.7556949921417137,11.795421170776423,6.543155110056621
Axon1,slice_014,0.7102907116859198,11.48870758258016,8.671882616704067
Axon1,slice_015,0.8528070588984252,5.048907980932447,250.299623566246
Axon2,slice_000,0.9496191700655938,1.2266168830766864,24.218569401945434
Axon2,slice_001,0.6097029754006208,7.389832961288811,14.66782803049378
Axon2,slice_002,0.7415933087640302,12.998459159132755,27.644956372436862
Axon2,slice_003,0.7924619136085179,13.420237202256676,5.377115847926218
Axon2,slice_004,0.7150344511496666,8.526158826168324,9.090582747138331
Axon2,slice_005,0.8715035533985414,2.4048424413616356,224.18947567423058
Axon2,slice_006,0.6726012256097784,8.828925667103427,5.078813531097258
Axon2,slice_007,0.7556346002150571,12.582627672917036,8.600112919359502
Axon2,slice_008,0.7721194029459512,12.509682518905064,3.834570232134372
Axon2,slice_009,0.643776986103051,7.506910878709886,3.7608151402216246
Axon2,slice_010,0.8477113341857455,3.1516996928397285,97.0198065781672
Axon2,slice_011,0.6406829831403399,6.2211838227517955,7.659213514602023
Axon2,slice_012,0.7724428955308832,13.525763082654716,38.27196508744904
