axon,slice,gratio,axon_diam,dist_centre
Axon1,slice_000,0.8612846076281562,2.878251743301711,205.84880593297365
Axon1,slice_001,0.8050911135473287,16.222933752283605,9.78561778824536
Axon1,slice_002,0.7198578366597368,11.303644962629178,8.446541248710737
Axon1,slice_003,0.8366065025582965,26.575873506784948,14.80087188347619
Axon1,slice_004,0.6809587939194732,8.686929452299418,6.697185550005969
Axon1,slice_005,0.9361029108991248,1.352408446443626,342.477309378952
Axon1,slice_006,0.75621833090466,7.226588070363555,3.907525820185598
Axon1,slice_007,0.6545678285609818,9.682604472421026,8.70708924378257
Axon1,slice_008,0.7396156476341351,12.788917267466012,22.655118257193177
Axon1,slice_009,0.7760481164748784,11.557775801762142,7.895479013206624
Axon1,slice_010,0.9216859283373322,4.2967694895780495,229.08168178367407
Axon1,slice_011,0.7517846120505207,13.577280645906594,10.874694462472611
Axon1,slice_012,0.7891244673344232,11.396540210746522,13.31373084000949
Axon1,slice_013,0.7604257106028524,12.610160981586208,6.543155110056621
Axon1,slice_014,0.7448219373756939,13.964019304956285,8.671882616704067
Axon1,slice_015,0.845822977703822,6.390671817957329,250.299623566246
Axon2,slice_000,0.869978588873335,2.037872769105736,149.28943093929863
Axon2,slice_001,0.6828645508470239,11.116493535350852,14.66782803049378
Axon2,slice_002,0.7679177179937319,17.84672828351939,27.644956372436862
Axon2,slice_003,0.8085875424552457,15.30497331129264,5.377115847926218
Axon2,slice_004,0.7861213102051822,11.406920005265604,9.090582747138331
Axon2,slice_005,0.8389690385342284,3.1902813275241844,217.9726820477113
Axon2,slice_006,0.6457450907787811,9.042535239792665,5.078813531097258
Axon2,slice_007,0.7679443213523912,15.960846537543713,8.600112919359502
Axon2,slice_008,0.786326447838856,16.12448302370315,3.834570232134372
Axon2,slice_009,0.6762557067442594,10.71032754958574,3.7608151402216246
Axon2,slice_010,0.9492843011504228,3.911408831301484,187.9797361979666
Axon2,slice_011,0.6901171511004422,9.06867322300372,7.659213514602023
Axon2,slice_012,0.8110417730652185,20.450928434283693,38.27196508744904
Axon2,slice_013,0.7924978464598771,11.92521691855181,18.806222993230445
Axon2,slice_014,0.770924235462683,8.384419104254107,10.277063353234775
Axon2,slice_015,0.796544260302395,1.9897903629047111,142.43212574498216
Axon3,slice_000,0.7350033231608353,1.422205449562854,134.9309620934432
Axon3,slice_001,0.7745289093962554,12.14778654252347,9.4871056115929
Axon3,slice_002,0.7591273021292405,11.69289411294219,3.3951022928392947
Axon3,slice_003,0.7898326509067324,13.999416115369558,7.570013022850067
Axon3,slice_004,0.7551566462454878,12.795645621090737,7.720107797276489
Axon3,slice_005,0.7373057653827662,4.238787543098882,199.83238125061823
Axon3,slice_006,0.759824825050474,12.392423881553402,12.6079244133958
Axon3,slice_007,0.8275994140541506,12.276412714445286,13.613721161319276
Axon3,slice_008,0.8455585780751708,21.591248621837863,5.8248068765281005
Axon3,slice_009,0.8006173238573016,19.16752552044885,23.554322254863962
Axon3,slice_010,0.894427190999916,2.624057822900967,242.51559673184553
Axon3,slice_011,0.7994329127648263,10.419070985644176,19.13681710140996
Axon3,slice_012,0.5994130834466949,9.420148301064268,240.62260169243066
Axon3,slice_013,0.7677985172600923,12.779659997148755,5.144353288498963
Axon3,slice_014,0.7570365992993221,12.599064618198485,10.015806099355293
Axon3,slice_015,0.7778760564966156,10.655944716959167,338.6652192138468
Axon4,slice_000,0.6992058987801011,1.191709439501761,281.56060769129164
Axon4,slice_001,0.8131988454030763,15.00180420925122,9.7777592739615
Axon4,slice_002,0.8138616399689124,14.187213174353548,15.400895821253743
Axon4,slice_003,0.7298306612748556,9.3582709730761,7.4923442827146625
